Year,Month,Week,Season,City,Average Temperature (°C),Average Rainfall (mm),Average Humidity (%),Air Quality Index (AQI),Mosquito Density Index,Population Density (people per sq km),Dengue Cases Reported,Outbreak Risk Level,Latitude,Longitude,Month_Num
2015.0,January,3.0,Winter,Jaipur,15.0,9.81,46.02,172.5,0.008,6000.0,0.0,Low,26.9124,75.7873,1
2015.0,January,3.0,Winter,Lucknow,17.59,11.33,54.63,218.5,0.019,17000.0,1.0,Low,26.8467,80.9462,1
2015.0,January,3.0,Winter,Kanpur,15.0,8.97,57.05,209.4,0.06,10000.0,0.0,Low,26.4499,80.3319,1
2015.0,January,3.0,Winter,Nagpur,16.98,5.11,55.95,91.9,0.102,9000.0,0.0,Low,21.1458,77.7064,1
2015.0,January,3.0,Winter,Indore,16.68,11.68,43.35,126.5,0.066,8500.0,0.0,Low,22.7196,75.8577,1
2015.0,January,3.0,Winter,Bhopal,21.15,1.75,50.5,95.3,0.12,2800.0,3.0,Low,23.2599,77.4126,1
2015.0,January,3.0,Winter,Surat,15.1,22.2,68.9,114.3,0.198,17000.0,0.0,Low,21.1702,72.8311,1
2015.0,January,3.0,Winter,Vadodara (Baroda),15.0,9.24,57.41,107.1,0.0,7500.0,0.0,Low,22.3072,73.1812,1
2015.0,January,3.0,Winter,Nashik,19.32,2.09,57.16,103.7,0.13,4000.0,1.0,Low,19.9975,73.7898,1
2015.0,January,3.0,Winter,Ludhiana,16.29,5.53,57.8,213.6,0.139,10000.0,0.0,Low,30.901,75.8573,1
2015.0,January,3.0,Winter,Agra,15.0,2.96,67.535,186.4,0.04,8500.0,2.0,Low,27.1767,78.0081,1
2015.0,January,3.0,Winter,Meerut,16.12,13.48,54.4,187.6,0.0,12000.0,0.0,Low,28.9845,77.7064,1
2015.0,January,3.0,Winter,Vijayawada,20.17,11.33,50.4,109.0,0.117,7800.0,3.0,Low,16.5062,80.648,1
2015.0,January,3.0,Winter,Ranchi,15.34,12.64,48.41,103.4,0.065,6000.0,3.0,Low,23.3441,85.3096,1
2015.0,January,3.0,Winter,Patna,19.37,13.68,49.95,150.6,0.486,21000.0,2.0,Low,25.5941,85.1376,1
2015.0,January,3.0,Winter,Visakhapatnam,16.79,11.89,56.91,94.7,0.104,6500.0,1.0,Low,17.6868,83.2185,1
2015.0,January,3.0,Winter,Coimbatore,18.04,10.08,51.51,113.6,0.126,8500.0,0.0,Low,11.0168,76.9558,1
2015.0,January,3.0,Winter,Madurai,20.0,17.7,51.12,100.1,0.122,7000.0,0.0,Low,9.9252,78.1198,1
2015.0,January,3.0,Winter,Thiruvananthapuram (Trivandrum),20.04,13.68,64.34,80.1,0.223,5000.0,5.0,Low,8.5241,76.9366,1
2015.0,January,3.0,Winter,Kochi (Cochin),15.0,9.04,60.4,100.2,0.102,9000.0,3.0,Low,9.9312,76.2673,1
2015.0,January,3.0,Winter,Bhubaneswar,15.0,9.21,65.74,101.8,0.158,6000.0,1.0,Low,20.2961,85.8245,1
2015.0,January,3.0,Winter,Guwahati,16.84,13.59,70.01,121.9,0.175,8500.0,7.0,Low,22.3072,91.7362,1
2015.0,January,4.0,Winter,Delhi (NCT),16.46,14.92,53.24,208.6,0.118,11297.0,4.0,Low,28.7041,77.1025,1
2015.0,January,4.0,Winter,Mumbai,19.23,18.67,68.11,169.6,0.218,20400.0,6.0,Low,19.076,72.8777,1
2015.0,January,4.0,Winter,Kolkata,17.01,20.86,71.82,132.1,0.124,24000.0,3.0,Low,22.5726,88.3639,1
2015.0,January,4.0,Winter,Chennai,17.45,0.39,66.83,125.7,0.05,26000.0,3.0,Low,13.0827,80.2707,1
2015.0,January,4.0,Winter,Bengaluru,26.75,3.68,67.535,113.0,0.065,11700.0,0.0,Low,12.9716,77.5946,1
2015.0,January,4.0,Winter,Hyderabad,18.98,10.18,57.86,129.8,0.101,10000.0,0.0,Low,17.385,78.4867,1
2015.0,January,4.0,Winter,Pune,16.11,14.03,52.87,77.2,0.034,6000.0,1.0,Low,18.5204,73.8567,1
2015.0,January,4.0,Winter,Ahmedabad,15.0,5.83,52.36,158.4,0.006,12100.0,0.0,Low,23.0225,72.5714,1
2015.0,January,4.0,Winter,Jaipur,26.75,9.86,55.09,186.7,0.107,6000.0,0.0,Low,26.9124,75.7873,1
2015.0,January,4.0,Winter,Lucknow,16.33,2.41,54.03,183.5,0.0,8500.0,0.0,Low,26.8467,80.9462,1
2015.0,January,4.0,Winter,Kanpur,19.76,3.0,52.53,205.9,0.045,10000.0,0.0,Low,26.4499,80.3319,1
2015.0,January,4.0,Winter,Nagpur,26.75,-0.6,50.79,113.7,0.0,9000.0,0.0,Low,21.1458,79.0882,1
2015.0,January,4.0,Winter,Indore,17.22,11.62,57.94,90.3,0.092,8500.0,3.0,Low,22.7196,75.8577,1
2015.0,January,4.0,Winter,Bhopal,17.81,14.07,53.24,127.6,0.065,2800.0,0.0,Low,22.3072,77.4126,1
2015.0,January,4.0,Winter,Surat,16.75,10.81,60.87,109.6,0.063,17000.0,0.0,Low,21.1702,72.8311,1
2015.0,January,4.0,Winter,Vadodara (Baroda),16.14,14.51,58.44,93.4,0.087,7500.0,1.0,Low,22.3072,73.1812,1
2015.0,January,4.0,Winter,Nashik,15.0,6.04,54.26,116.6,0.085,4000.0,0.0,Low,19.9975,73.7898,1
2015.0,January,4.0,Winter,Ludhiana,15.0,12.97,54.51,187.6,0.045,10000.0,1.0,Low,30.901,75.8573,1
2015.0,January,4.0,Winter,Agra,15.0,4.38,52.17,212.1,0.082,8500.0,0.0,Low,27.1767,78.0081,1
2015.0,January,4.0,Winter,Meerut,15.0,11.91,51.44,229.6,0.123,12000.0,0.0,Low,28.9845,77.7064,1
2015.0,January,4.0,Winter,Vijayawada,16.72,11.24,55.1,94.9,0.094,7800.0,2.0,Low,16.5062,77.7064,1
2015.0,January,4.0,Winter,Ranchi,18.44,6.45,55.93,104.8,0.094,6000.0,0.0,Low,23.3441,85.3096,1
2015.0,January,4.0,Winter,Patna,15.9,-0.38,57.26,139.1,0.0,21000.0,0.0,Low,25.5941,85.1376,1
2015.0,January,4.0,Winter,Visakhapatnam,18.32,16.4,71.93,93.2,0.185,6500.0,0.0,Low,17.6868,83.2185,1
2015.0,January,4.0,Winter,Coimbatore,18.3,5.2,50.46,106.7,0.016,8500.0,0.0,Low,11.0168,76.9558,1
2015.0,January,4.0,Winter,Madurai,16.66,-1.96,48.8,78.4,0.0,7000.0,0.0,Low,9.9252,78.1198,1
2015.0,January,4.0,Winter,Thiruvananthapuram (Trivandrum),17.81,8.9,69.55,113.7,0.207,5000.0,0.0,Low,8.5241,76.9366,1
2015.0,January,4.0,Winter,Kochi (Cochin),15.93,15.53,63.52,82.2,0.486,9000.0,2.0,Low,22.3072,76.2673,1
2015.0,January,4.0,Winter,Bhubaneswar,15.0,12.54,62.52,106.6,0.159,6000.0,0.0,Low,20.2961,85.8245,1
2015.0,January,4.0,Winter,Guwahati,15.0,5.17,64.3,121.5,0.1,7000.0,2.0,Low,26.1445,91.7362,1
2015.0,January,5.0,Winter,Delhi (NCT),15.0,8.34,54.31,113.7,0.078,11297.0,0.0,Low,28.7041,77.1025,1
2015.0,January,5.0,Winter,Mumbai,15.0,11.72,64.51,128.7,0.085,20400.0,3.0,Low,19.076,72.8777,1
2015.0,January,5.0,Winter,Kolkata,19.34,20.17,77.45,98.3,0.249,24000.0,6.0,Low,22.5726,88.3639,1
2015.0,January,5.0,Winter,Chennai,15.0,5.8,60.72,150.5,0.125,26000.0,5.0,Low,13.0827,80.2707,1
2015.0,January,5.0,Winter,Bengaluru,17.11,8.32,56.6,189.2,0.045,11700.0,0.0,Low,12.9716,77.5946,1
2015.0,January,5.0,Winter,Hyderabad,17.35,10.79,55.97,129.9,0.065,10000.0,43.0,Low,17.385,78.4867,1
2015.0,January,5.0,Winter,Pune,17.09,1.26,52.67,90.7,0.0,6000.0,0.0,Low,18.5204,73.8567,1
2015.0,January,5.0,Winter,Ahmedabad,15.0,11.3,56.45,113.7,0.091,12100.0,2.0,Low,23.0225,77.7064,1
2015.0,January,5.0,Winter,Jaipur,15.0,4.99,52.31,169.2,0.036,6000.0,0.0,Low,26.9124,75.7873,1
2015.0,January,5.0,Winter,Lucknow,15.0,8.05,55.13,190.5,0.486,17000.0,1.0,Low,26.8467,80.9462,1
2015.0,January,5.0,Winter,Ahmedabad,18.04,12.99,67.535,193.1,0.061,10000.0,5.0,Low,26.4499,80.3319,1
2015.0,January,5.0,Winter,Nagpur,15.0,9.73,50.17,96.4,0.039,9000.0,43.0,Low,21.1458,79.0882,1
2015.0,January,5.0,Winter,Indore,15.0,9.19,47.86,105.7,0.0,8500.0,0.0,Low,22.7196,77.7064,1
2015.0,January,5.0,Winter,Ahmedabad,15.78,-1.19,49.89,94.3,0.013,2800.0,0.0,Low,23.2599,77.4126,1
2015.0,January,5.0,Winter,Surat,19.49,12.05,70.13,132.1,0.221,17000.0,3.0,Low,21.1702,72.8311,1
2015.0,January,5.0,Winter,Vadodara (Baroda),17.96,4.62,54.73,72.9,0.028,7500.0,0.0,Low,22.3072,73.1812,1
2015.0,January,5.0,Winter,Ahmedabad,15.85,16.05,57.69,114.4,0.486,4000.0,0.0,Low,19.9975,73.7898,1
2015.0,January,5.0,Winter,Ludhiana,18.01,5.62,40.0,160.5,0.0,8500.0,0.0,Low,30.901,75.8573,1
2015.0,January,5.0,Winter,Agra,15.0,6.74,52.88,196.2,0.0,8500.0,0.0,Low,27.1767,78.0081,1
2015.0,January,5.0,Winter,Meerut,15.0,1.75,51.65,207.9,0.042,12000.0,1.0,Low,28.9845,77.7064,1
2015.0,January,5.0,Winter,Vijayawada,26.75,3.09,58.02,104.9,0.0,7800.0,0.0,Low,16.5062,80.648,1
2015.0,January,5.0,Winter,Ranchi,18.86,15.53,57.85,113.7,0.173,6000.0,5.0,Low,23.3441,85.3096,1
2015.0,January,5.0,Winter,Patna,17.89,15.13,51.46,153.9,0.117,21000.0,1.0,Low,25.5941,85.1376,1
2015.0,January,5.0,Winter,Visakhapatnam,17.87,7.81,63.87,72.4,0.486,6500.0,0.0,Low,17.6868,83.2185,1
2015.0,January,5.0,Winter,Coimbatore,17.54,1.95,58.56,113.7,0.065,8500.0,0.0,Low,11.0168,76.9558,1
2015.0,January,5.0,Winter,Madurai,15.58,12.07,56.76,99.9,0.068,7000.0,0.0,Low,9.9252,78.1198,1
2015.0,January,5.0,Winter,Thiruvananthapuram (Trivandrum),17.56,19.91,67.93,74.9,0.196,5000.0,3.0,Low,8.5241,76.9366,1
2015.0,January,5.0,Winter,Kochi (Cochin),18.39,18.49,70.54,63.0,0.31,9000.0,7.0,Low,9.9312,76.2673,1
2015.0,January,5.0,Winter,Bhubaneswar,19.44,4.16,59.46,91.9,0.132,8500.0,0.0,Low,20.2961,85.8245,1
2015.0,January,5.0,Winter,Guwahati,16.16,10.79,63.19,128.8,0.165,7000.0,3.0,Low,26.1445,91.7362,1
2015.0,February,6.0,Winter,Delhi (NCT),21.06,6.28,47.16,225.9,0.156,11297.0,7.0,Low,28.7041,77.1025,2
2015.0,February,6.0,Winter,Mumbai,18.24,17.1,67.535,137.7,0.216,20400.0,4.0,Low,19.076,72.8777,2
2015.0,February,6.0,Winter,Kolkata,15.0,7.13,77.53,159.1,0.136,24000.0,3.0,Low,22.5726,88.3639,2
2015.0,February,6.0,Winter,Chennai,16.9,15.96,59.46,174.4,0.118,26000.0,1.0,Low,22.3072,80.2707,2
2015.0,February,6.0,Winter,Bengaluru,15.67,7.94,56.88,175.3,0.086,11700.0,43.0,Low,12.9716,77.5946,2
2015.0,February,6.0,Winter,Hyderabad,15.69,6.88,57.07,138.8,0.148,10000.0,43.0,Low,17.385,78.4867,2
2015.0,January,6.0,Winter,Pune,17.16,11.77,54.58,101.9,0.13,6000.0,3.0,Low,18.5204,73.8567,1
2015.0,February,6.0,Winter,Ahmedabad,18.31,5.39,52.76,108.7,0.034,12100.0,0.0,Low,23.0225,72.5714,2
2015.0,February,6.0,Winter,Jaipur,16.7,14.64,54.33,183.7,0.144,6000.0,0.0,Low,26.9124,75.7873,2
2015.0,February,6.0,Winter,Lucknow,18.51,16.91,55.61,212.6,0.181,17000.0,5.0,Low,26.8467,80.9462,2
2015.0,February,6.0,Winter,Kanpur,15.23,5.26,50.65,187.3,0.004,10000.0,0.0,Low,26.4499,80.3319,2
2015.0,February,6.0,Winter,Nagpur,16.65,14.26,55.67,107.2,0.072,9000.0,0.0,Low,21.1458,79.0882,2
2015.0,February,6.0,Winter,Indore,19.57,8.08,62.3,88.4,0.18,8500.0,0.0,Low,22.7196,75.8577,2
2015.0,February,6.0,Winter,Bhopal,15.0,-1.6,57.44,120.1,0.0,2800.0,0.0,Low,23.2599,77.4126,2
2015.0,February,6.0,Winter,Surat,19.34,11.9,58.71,148.5,0.139,17000.0,6.0,Low,21.1702,72.8311,2
2015.0,February,6.0,Winter,Vadodara (Baroda),15.0,10.45,48.39,83.1,0.012,7500.0,43.0,Low,22.3072,73.1812,2
2015.0,February,6.0,Winter,Ahmedabad,19.34,16.81,55.85,77.2,0.225,4000.0,0.0,Low,19.9975,77.7064,2
2015.0,February,6.0,Winter,Ludhiana,15.0,12.07,51.05,185.3,0.067,8500.0,7.0,Low,22.3072,75.8573,2
2015.0,February,6.0,Winter,Agra,15.92,0.68,52.94,188.5,0.09,8500.0,1.0,Low,27.1767,78.0081,2
2015.0,February,6.0,Winter,Meerut,15.0,8.17,53.09,195.7,0.108,12000.0,1.0,Low,28.9845,77.7064,2
2015.0,February,6.0,Winter,Vijayawada,18.5,6.17,58.53,86.7,0.131,7800.0,0.0,Low,16.5062,80.648,2
2015.0,February,6.0,Winter,Ranchi,18.93,1.05,54.57,100.7,0.08,6000.0,6.0,Low,23.3441,85.3096,2
2015.0,February,6.0,Winter,Patna,16.72,19.27,49.22,168.0,0.188,21000.0,5.0,Low,25.5941,85.1376,2
2015.0,February,6.0,Winter,Visakhapatnam,15.0,10.7,68.14,100.7,0.144,6500.0,0.0,Low,17.6868,83.2185,2
2015.0,February,6.0,Winter,Coimbatore,16.91,10.83,57.41,96.9,0.171,8500.0,1.0,Low,11.0168,76.9558,2
2015.0,February,6.0,Winter,Madurai,15.94,15.17,61.27,124.6,0.116,7000.0,0.0,Low,9.9252,78.1198,2
2015.0,February,6.0,Winter,Thiruvananthapuram (Trivandrum),17.18,6.68,62.68,107.4,0.143,5000.0,0.0,Low,8.5241,76.9366,2
2015.0,February,6.0,Winter,Kochi (Cochin),15.0,18.4,75.96,99.0,0.227,9000.0,4.0,Low,9.9312,76.2673,2
2015.0,February,6.0,Winter,Bhubaneswar,18.53,3.86,60.42,122.0,0.089,6000.0,43.0,Low,20.2961,85.8245,2
2015.0,February,6.0,Winter,Guwahati,19.38,13.68,67.535,116.8,0.119,7000.0,0.0,Low,26.1445,91.7362,2
2015.0,February,7.0,Winter,Delhi (NCT),16.46,5.49,54.43,233.0,0.0,11297.0,0.0,Low,28.7041,77.1025,2
2015.0,February,7.0,Winter,Mumbai,18.67,8.66,63.51,152.2,0.167,20400.0,4.0,Low,19.076,72.8777,2
2015.0,February,7.0,Winter,Kolkata,26.75,2.66,67.535,113.7,0.228,24000.0,8.0,Low,22.5726,88.3639,2
2015.0,February,7.0,Winter,Chennai,16.85,3.09,63.5,124.0,0.102,26000.0,0.0,Low,13.0827,80.2707,2
2015.0,February,7.0,Winter,Bengaluru,16.82,13.68,46.15,172.2,0.016,11700.0,43.0,Low,12.9716,77.5946,2
2015.0,February,7.0,Winter,Hyderabad,15.0,11.24,48.04,162.4,0.486,10000.0,0.0,Low,17.385,78.4867,2
2015.0,February,7.0,Winter,Ahmedabad,18.1,6.52,67.535,144.3,0.089,6000.0,0.0,Low,18.5204,73.8567,2
2015.0,February,7.0,Winter,Ahmedabad,15.36,16.72,51.75,85.4,0.11,12100.0,0.0,Low,23.0225,72.5714,2
2015.0,February,7.0,Winter,Jaipur,15.23,8.39,58.71,218.2,0.185,6000.0,0.0,Low,26.9124,75.7873,2
2015.0,February,7.0,Winter,Ahmedabad,17.65,3.87,49.26,207.8,0.13,17000.0,3.0,Low,26.8467,77.7064,2
2015.0,February,7.0,Winter,Kanpur,15.0,6.89,47.17,237.6,0.486,10000.0,1.0,Low,26.4499,80.3319,2
2015.0,February,7.0,Winter,Nagpur,15.0,1.91,56.18,129.3,0.005,9000.0,0.0,Low,21.1458,79.0882,2
2015.0,February,7.0,Winter,Indore,26.75,11.1,53.56,96.3,0.154,8500.0,6.0,Low,22.7196,75.8577,2
2015.0,February,7.0,Winter,Bhopal,16.67,10.35,51.96,90.3,0.13,2800.0,0.0,Low,23.2599,77.4126,2
2015.0,February,7.0,Winter,Surat,15.0,15.71,71.14,96.3,0.124,17000.0,2.0,Low,21.1702,72.8311,2
2015.0,February,7.0,Winter,Vadodara (Baroda),19.55,15.14,67.535,75.6,0.184,7500.0,0.0,Low,22.3072,73.1812,2
2015.0,February,7.0,Winter,Nashik,17.21,11.36,56.16,136.8,0.007,4000.0,0.0,Low,19.9975,73.7898,2
2015.0,February,7.0,Winter,Ludhiana,15.0,3.15,53.56,195.7,0.045,10000.0,1.0,Low,30.901,77.7064,2
2015.0,February,7.0,Winter,Agra,15.0,-0.85,53.98,203.0,0.153,8500.0,2.0,Low,22.3072,78.0081,2
2015.0,February,7.0,Winter,Meerut,15.0,13.68,51.41,189.8,0.049,12000.0,0.0,Low,28.9845,77.7064,2
2015.0,February,7.0,Winter,Vijayawada,15.4,14.34,63.7,88.7,0.107,7800.0,2.0,Low,16.5062,77.7064,2
2015.0,February,7.0,Winter,Ahmedabad,17.79,6.91,55.87,126.1,0.085,6000.0,2.0,Low,23.3441,77.7064,2
2015.0,February,7.0,Winter,Patna,19.67,1.08,64.02,168.6,0.202,21000.0,7.0,Low,25.5941,85.1376,2
2015.0,February,7.0,Winter,Visakhapatnam,17.11,3.71,60.36,125.6,0.072,6500.0,0.0,Low,17.6868,83.2185,2
2015.0,February,7.0,Winter,Coimbatore,15.35,3.58,56.91,83.8,0.0,8500.0,0.0,Low,11.0168,76.9558,2
2015.0,February,7.0,Winter,Madurai,15.42,15.93,56.49,92.6,0.158,7000.0,3.0,Low,9.9252,78.1198,2
2015.0,February,7.0,Winter,Thiruvananthapuram (Trivandrum),19.69,-0.1,65.26,113.7,0.166,5000.0,0.0,Low,8.5241,77.7064,2
2015.0,February,7.0,Winter,Kochi (Cochin),15.92,12.22,62.5,72.7,0.133,9000.0,1.0,Low,9.9312,76.2673,2
2015.0,February,7.0,Winter,Bhubaneswar,19.24,15.19,63.14,105.7,0.178,6000.0,1.0,Low,20.2961,85.8245,2
